标题,时间,作者,链接,内容
SpaceX’s CFO Is the Quiet VIP of a Wild IPO,2026-06-05T16:36:23Z,Theo Wayt,https://www.theinformation.com/articles/spacexs-cfo-quiet-vip-wild-ipo,"Over the last few months, SpaceX’s chief financial officer, Bret Johnsen, has been trying to pull off an intense two-part challenge: Fold xAI into SpaceX—the biggest merger ever—and then take the combined company public at $75 billion in the largest IPO ever.
Johnsen, 57, has gotten it done by keeping his customary cool. Inside SpaceX, colleagues say he’s less prone to getting worked up than other executives like CEO Elon Musk and President Gwynne Shotwell, and compared to those colleagues, he is less apt to drop an f-bomb. At the same time, Johnsen manages to stay loyal to Musk while knowing how to make his bosses’ impulses and visions presentable—and palatable—to investors, colleagues say.
“You wouldn’t want a cowboy hat–wearing sort of person to be your CFO when you already have that in Elon and Gwynne,” said a former SpaceX executive who has worked with Johnsen. “It makes you feel better about the company knowing that one of the officers is focused on steering the ship and isn’t saying, ‘Hey, this week we’re going to Mars! Next week we’re doing something completely different!’”
Another former SpaceXer described Johnsen in different terms: “He’s a boring suit.”
Still, Johnsen is no shrinking violet. Throughout this year, he repeatedly expressed frustration with media reports
revealing details
about the IPO before SpaceX had filed them publicly, telling advisers involved with the deal to shut up or he would fire them, people familiar with his comments said. Johnsen and spokespeople for SpaceX did not respond to requests for comment for this story.
Johnsen’s efforts are poised to reach a climax next Friday, the day when SpaceX shares are expected to begin trading. The IPO is a watershed moment for Silicon Valley that could greatly accelerate Musk’s many bold plans for the company, which include everything from building data centers in orbit to colonizing the moon and Mars.
The SpaceX IPO is expected to produce one of the greatest waves of wealth creation from a single company ever. Musk himself is poised to become the world’s first trillionaire, and the company has produced a wide swath of billionaires and centimillionaires: Johnsen is one of them. At the expected $135 a share IPO price, his stake in the company will be worth $1.3 billion.
Getting SpaceX to an IPO has resulted in a chaotic few months for Johnsen. During that time, he has slashed costs at xAI and assembled unconventional deals to sell compute to Anthropic and potentially acquire Cursor. And he has juggled relationships with the 23 banks involved in the IPO, among many other tasks.
Johnsen’s job as one of the most important executives at one of the planet’s most closely watched companies is only going to get more complicated from here. It will also force Johnsen, who has kept a low profile over his decade-and-half tenure as SpaceX’s first and only CFO, much more into the public eye. In the past, he has made only occasional appearances at finance or commercial space conferences and events for his alma mater, the University of Southern California, where he serves as a trustee. And in stark contrast to his boss Musk, he has totally eschewed X: Johnsen has fewer than 3,000 followers and no public posts. Only recently did he receive a SpaceX affiliate badge on the service.
To some degree, all high-ranking executives at companies going public face the challenge of contending with greater scrutiny. But what makes Johnsen’s task exceptional is the sheer size of his company’s ambitions and the fact that just a few months ago, SpaceX was a much different business. It didn’t yet have the burden of xAI’s billions of dollars in cash burn. Given Musk’s management style, Johnsen must manage the books for one of the most unpredictable people in modern corporate history.
“The challenge is incorporating aspects of being a public company—investors, conferences, analyst calls—while also having to deal with a lot more scrutiny since the company is spending so much right now,” said Franco Granda, a PitchBook analyst covering SpaceX. “It may be trial by fire for him.”
SpaceX’s Starship rocket lifts off from Starbase, Texas, in August 2025 for its tenth test flight.
(Getty Images)
On Thursday, SpaceX
published
a 17-minute video in which Johnsen pitched the IPO to investors, one of the few times he’s appeared on camera for the company in a high- profile role.
How Johnsen handles the IPO won’t just affect SpaceX and Musk’s grand visions for the future of humanity. It will also set the stage for two other historic IPOs that may come within months of SpaceX’s debut: those of Anthropic and OpenAI. Anthropic CFO Krishna Rao has kept a low profile but has learned to
wield power behind the scenes
, while OpenAI’s
CFO, Sarah Friar
, has much more recent experience than Johnsen as a public figure from her lengthy tenures as CEO of Nextdoor and CFO of Block.
Johnsen’s endurance will be tested. Most CFOs that have taken a company public generally only last for another two or three years: They generally tire of the greater grind of running a giant public company, said Granda. Already, Johnsen has been in the CFO role longer than his peers at Alphabet, Apple, Meta Platforms, Microsoft, Nvidia and Tesla. Another perspective: Since Tesla’s IPO in 2010, it has gone through four CFOs.
Muskworld is a place that sometimes attracts characters from
unusual backgrounds
who can rise as quickly
as they fall
. Johnsen’s background is comparatively straightforward.
A Southern California native, Johnsen received an undergraduate degree in accounting at USC and earned a master’s in finance at San Diego State University, then started his career with low-level finance roles at Qualcomm and Coopers & Lybrand, an accounting firm.
In the late 1990s, he worked as corporate controller at Classified Ventures, a joint venture between newspaper publishers including McClatchy and Gannett that ran websites such as Cars.com and Apartments.com. In 1999, Johnsen joined another chipmaker, Broadcom, where he eventually ascended to corporate controller.
Then in 2008, Johnsen became CFO of Mindspeed Technologies, a small publicly traded semiconductor company. He joined during the depths of the financial crisis, when the company’s shares plunged more than 75% during the last six months of 2008. Quickly, Johnsen started cutting costs by laying off employees,
according
to the Orange County Business Journal, while reworking some of the company’s debt and selling some of its patents. He was eventually able to rebuild Mindspeed’s stock by focusing on investor relations, wooing analysts and bringing in more institutional investors.
“We were headed into the worst economy of our lifetimes in the second half of 2008,” he told the Orange County Business Journal. “It gave me the chance to make a lot of changes that I thought really needed to be made.”
When a SpaceX recruiter contacted Johnsen in 2011, he initially thought it was a storage company. The recruiter corrected him—no, SpaceX built rockets. Still, Johnsen had his doubts about taking the job. His knowledge of outer space came largely from “Star Wars,” he recalled in a talk with USC students last year. Nonetheless, he decided to take a flier on the company, then valued at just around $1 billion.
When SpaceX announced his hiring, the company put out a press release with a quote from Musk touting Johnsen’s hiring as a step toward an IPO: “His experience will be invaluable to SpaceX as we implement the financial standards and processes needed to allow for the possibility of becoming a public company.”
Obviously, Musk’s IPO talk was premature. In 2011, SpaceX didn’t conduct a single launch, focusing instead on developing a space capsule for NASA and finalizing future reusable rocket designs that year. By the mid-2010s, though, the company’s Falcon 9 rocket was becoming a reliable workhorse, changing the economics of space by lowering launch costs for much of the industry. Starting in 2020, SpaceX’s Starlink satellite internet service took off, and it has
gained traction globally
. Now, Starlink is the company’s biggest source of revenue and its most profitable business.
SpaceX CEO Elon Musk in April.
(Getty Images)
As SpaceX’s business expanded, Johnsen managed an unusual number of tender offers that allowed its employees to cash out some of their stock, completing one roughly every six months. Most startups do not do tender offers with such regularity.
A short distance from SpaceX’s Hawthorne, Calif., headquarters, Johnsen and his wife, Catherine, own a pair of mansions—one in Rancho Palos Verdes and another in Manhattan Beach—that cost more than $5 million each, according to property records. (Their two kids, daughter Delaney and son Kenton, both worked as SpaceX interns for a time.) And according to SpaceX’s IPO filing, Johnsen co-owns a private plane with Shotwell, his SpaceX colleague.
In Orange County, the Johnsens enjoy an active social life, hosting several extravagant events each year, including annual parties on Christmas and Valentine’s Day and a fete with various themes at the Del Mar racetrack, a ritzy venue
founded by Bing Crosby
. This February, the Johnsens hosted a “Magic of Love Valentine Party” at the century-old Culver Hotel in Los Angeles, which featured a magician, a fire breather and a burlesque dancer.
Johnsen is a prolific Republican donor, contributing to Republican senators including Lindsey Graham and John Cornyn, as well as SpaceX’s political action committee, according to federal election records. And last year, the Johnsens held their Valentine’s Day party in Palos Verdes at a gilded hall within the Trump National Golf Club.
During many of his 15 years at SpaceX, Johnsen has had to repeatedly field the same big question from many of the Wall Street bankers he knows: When will SpaceX go public?
In 2013, his boss, Musk,
said
it would happen when a “Mars Colonial Transporter is flying regularly.” But late last year, he
decided
to pull the trigger on a 2026 IPO, hoping to finish it before his June 28 birthday.
In January, Johnsen started the process of picking bankers for the IPO. He initially discussed
dividing responsibilities
across a number of banks, according to people familiar with the discussions. That structure would have mirrored what Alibaba did for its 2014 IPO raising $25 billion, the largest in history at the time.
In the end, he went with two giant firms, Goldman Sachs and Morgan Stanley, as the most senior banks on the deal, advising SpaceX on pricing, valuation and how many shares to allocate to investors. He also brought in nearly two dozen more banks to sell the deal to investors around the world.
To streamline communications, instead of having every bank report to him directly, Johnsen put Citibank in charge of managing international banks like Barclays and UBS that are selling SpaceX shares in their home markets.
An artist’s illustration of SpaceX Starships on Mars.
(Image courtesy of SpaceX)
Still, Goldman and Morgan Stanley have continued jockeying for control over the deal, according to people familiar with the discussions. In the end, Goldman Sachs won the coveted left lead role, giving it more influence on pricing, valuation, the investor road show and how many shares SpaceX would allocate to Wall Street investors, according to people familiar with the details. Morgan Stanley is also leading the deal and plays a key role overseeing the early trading.
Investors and bankers say Johnsen and Musk defied many of their expectations for IPOs.
For one, Johnsen kept bankers hustling on the deal for months without formally hiring them until much later. He also asked investors to begin finalizing how much money they would contribute to the offering well ahead of the formal investor road show. (Typically, such discussions would happen during the show.) And Johnsen skipped the usual back-and-forth conversation with investors to discuss a range of stock prices. Instead, he simply told them the number they’d pay: $135 a share.
At the same time that Johnsen has been bringing SpaceX public, he’s been part of a strike force inside xAI looking for ways to cut the group’s gigantic costs. Shortly after
SpaceX acquired xAI
at a $250 billion valuation in February, Johnsen showed up at xAI’s
data centers in Memphis
with a small group of finance staff and investors, according to a person with knowledge of the visit. Within weeks of the visit, xAI’s
CFO was out
, the division was
doing layoffs
and SpaceX was nearing a deal to rent much of xAI’s computing capacity to Anthropic."
Trustworthy AI as a value lever,2026-06-05T16:17:56Z,The Information Partnerships,https://www.theinformation.com/articles/trustworthy-ai-value-lever,"Trust is a requirement for the success of AI, an operating condition that enables speed, scale and autonomy. When implementing AI technology, enterprises need to move at the speed of trust. Go faster, and unforeseen risks proliferate; go slower, and you fall behind your competitors.
Most executives are aware that trust is key to the success of AI, but less than half of companies can effectively support trustworthy AI, reveals a survey of more than 150 readers of The Information.
Seventy-one percent of respondents say that trust in AI is key to achieving business outcomes.
Here are the key steps needed to build trustworthy AI and achieve business value:
Embedding trust in AI
: To scale deployment of AI, companies must resolve constraints related to transparency, liability and compliance. Trust must be embedded into how decisions are made and executed by designing workflows, systems and AI interactions so that policies, thresholds and accountability operate in real time, not after the fact. By embedding trust into decisions, organizations can move faster with confidence — making it a way of operating, not an added layer of governance.
Bringing together executives who are split on AI
: Executives’ mindsets toward AI vary depending on their function. Top management and technology leaders are most likely to be enthusiastic champions; finance and legal functions are cautious evaluators, while risk functions tend to be pragmatic adopters. To agree, they must have trust in their AI protocols and clarity about what they are responsible for.
Assigning responsibility for building trust in AI
: Responsibility for building trust in AI is spread across multiple functions. Business and product units often lead, but cross-functional and technology groups all have roles. The recommendation is to bring the mindsets together by making all relevant functions co-creators of AI solutions, so that different goals are factored in by design. Thus, all executives work together toward a shared goal.
Designing trustworthy AI
Trust is at the core of decision-making about implementing AI. Seventy-six percent of The Information’s survey respondents say that trust in AI significantly influences organizations’ decisions to implement it. Trust in AI is treated as table stakes by survey respondents: roughly 65%–75% of respondents agree that “trust in AI is key to outcomes” and “building trust in AI is a top priority.” (See chart.)
In other words, trust is a value lever, allowing companies to say “yes” to AI projects more often, leading to business outcomes. Without trust, companies are more cautious with AI, which limits deployment to selected functional areas or data sets. “My organization is currently focused on incorporating AI into our market-facing tool but has not leaned in with the same enthusiasm in working it into the broader company’s workflow,” says one of The Information’s readers.
There’s a gap between recognizing the importance of trust in AI and knowing how to operationalize it. When the question shifts from recognition to execution — “we have effective structures in place to build and support trustworthy AI” — the center of gravity slides downward, with less than half (44%) of the respondents agreeing they have such structures in place. This disparity between awareness and facts on the ground reveals that companies do not have an issue with trust as such but with how to operationalize it.
The Information’s survey respondents describe the current state of building trustworthy AI as chaotic and ineffective, “a trial-and-error time, with no single benchmark or guideline.” That’s why, says another reader, “It’s been difficult to create AI governance structures and to scale deployment of AI.”
At the same time, many AI-driven decisions are no longer confined to a single function or system — they cut across domains, occur in real time and are increasingly automated. As a result, traditional approaches to governance, which rely on fragmented controls and after-the-fact oversight, struggle to keep pace with how decisions are made and executed in real time.
“Across industries, leaders are being asked to decide faster, with less certainty and higher stakes. The organizations that move forward with clarity are invested in how decisions get made — driving better visibility and fewer surprises.” –
Kapish Vanvaria
, EY Americas Deputy Vice Chair – Consulting.
To scale deployment of AI, companies need to embed crucial design requirements directly into AI processes by creating responsible-by-design AI frameworks. These requirements cluster around familiar issues like transparency and explainability, liability and governance and compliance. (See chart.)
Responsible scaling of AI requires a foundational approach to trust in AI, focused on repeatable evaluation and transparency rather than one-time approval. “Treat it like a tool, you get a tool,” notes one reader. In contrast, one company that has baked in most of the trust, compliance and security issues into the protocols is able to focus on content and knowledge fidelity rather than having to constantly address the pain of enforcement.
When building trust in AI, survey respondents prioritize strategies that ensure cybersecurity and secure data pipelines. Such foundational, proactive strategies aimed at maintaining trust in AI come before more defensive strategies such as creating walls or relying on copyright shields.
​​
“Trust in AI comes down to whether an organization can confidently answer four questions: What did we test? What changed? What risks remain? Why is this safe enough to deploy?” says one of The Information’s readers. To answer these questions, companies need to build a strong foundation for trust in AI by proactively embedding trust levers within business processes.
Aligning executive mindsets on AI
Is AI a growth opportunity, an operational tool or a source of risk? It’s all three and which one dominates is heavily influenced by whom you ask. Leadership is most enthusiastic while risk-related roles are more cautious. (See chart.)
“AI challenges human intuition,” notes one of The Information’s readers. And yet, it is the “human” in the loop that is the ultimate safety valve for AI. How best to harness human intuition to build effective structures for trustworthy AI?
The many divergent human mindsets about how to approach AI, depending on the role of the executive, stem from how they perceive their goals and responsibilities. Leadership seeks growth, technology executives focus on implementation, and risk executives want to limit vulnerabilities and avoid dangers.
The issues surrounding the responsibility for AI follow traditional corporate divisions, such as between business users and technologists. “The issue with AI trust comes down to the business teams being able to have direct access and control over AI agents. The engineers do not know enough about every subject to be able to determine the success criteria for all the AI agents,” says one reader.
Another fault line lies between enthusiasts and risk managers: “I have adopted the use of AI in all aspects of my business, but the corporate structure is nervous and reluctant to engage until they understand the risks,” says one of The Information’s readers. The consensus so far is that everybody still has lots to learn about AI: “Engaging all employees and teams in AI ownership is key. AI is still viewed as a foreign concept and more education is required.”
Key to bringing different executive functions on the same page is “trust [which] is only established when common knowledge is established between parties,” notes one reader. That common knowledge boils down to executives knowing that AI-related trust levers are embedded in the processes and workflows and having clarity about their responsibilities and accountability for AI outcomes.
Companies have not yet arrived at a prevalent leading-practice methodology for managing accountability and responsibility for AI. The Information’s survey reveals that responsibility for building trust in AI is spread across multiple functions, with no single group dominant. Product or cross-functional teams often lead, but technology, risk or legal all have roles. Such a fragmented landscape reveals that there is no consensus about how best to assign responsibility for building trust in AI. (See chart.)
The emerging recommendation is to bring the mindsets together by making all relevant functions co-creators of AI solutions, so that different goals are factored in by design. One of The Information’s readers suggests a broad approach with a governance council responsible for change management and training and composed of technology, legal, cybersecurity and communications executives. “Building trust means that executives need to champion AI and it should be championed by people in each vertical. Safe space to experiment needs to be provided and encouraged. A secure system is a trusted system,” says the reader.
The governance imperative
Companies are not failing to adopt AI — they are struggling to organize around it. The result may be a system that defaults to cautious, incremental adoption, even when leadership ambitions are higher. The opportunity is not to increase enthusiasm for AI, but to convert existing momentum into structure. That means embedding trust levers in AI-driven workflows, establishing clear ownership of AI trust, aligning functions around a shared framework and moving beyond diffuse responsibility toward defined governance.
Survey demographics
Based on a survey of 154 of The Information’s readers, specifically:
Size:
Forty-seven percent of companies had revenues under US$10 million, 30% had revenues between US$10 million and US$500 million and 23% had revenues of US$500 million or more.
Industry:
Respondents came from all major industries led by technology, media and telecommunications at 40%, professional services at 17% and healthcare and life sciences at 9%.
Job function:
Respondents represented all functional areas led by executive leadership at 27%, information technology at 10%, marketing and communications at 8% and sales at 8%.
Title:
The biggest group of survey respondents were directors at 18%, CEOs and owners at 16%, followed by C-suite at 17%.
This research was produced with
EY Consulting
."
How xAI Went From Chasing Anthropic to Powering It,2026-06-05T13:00:55Z,Grace Kay,https://www.theinformation.com/articles/xai-went-chasing-anthropic-powering,"SpaceX’s AI lab has had a chaotic year so far, churning through leaders and staff before bringing in outside help in an effort to catch up to Anthropic in coding.
What isn’t widely known, however, is that xAI has played a long-running cat-and-mouse game with Anthropic as it has sought to tap into that lab’s technology to develop its own offerings—even after Anthropic cut off access, six people involved with the work said. That tense relationship sheds new light on xAI’s decision to rent out some of its coveted compute capacity—to Anthropic.
The setbacks in recent months raise questions about how much the soon-to-be-public SpaceX will focus on its own AI development rather than on renting out its computing capacity to others. Anthropic’s payments boost the deeply unprofitable AI unit, which contributed to steep first-quarter losses for the overall company.
But ahead of its potentially record-shattering initial public offering next week, SpaceX is pitching itself to Wall Street as an AI growth story with its own enterprise and consumer offerings a key part of the overall business.
And in posts on X in recent days, Musk has repeatedly described the Anthropic deal as short-term. In a post on Tuesday, he said he wanted the Anthropic deal to be short-term because “I thought we might need the compute back at some point.”
Musk founded xAI in 2023 to challenge OpenAI and other leading labs, raising around $42 billion total and amassing a stockpile of graphics processing units. But as xAI has tried to play catch-up to OpenAI and Anthropic, its gaps have become especially apparent in the fast-evolving battleground of coding-focused models and tools.
While xAI released its Grok chatbot in 2023, it didn’t release its first coding-focused model until last August. By that time, Anthropic and OpenAI were already selling more advanced coding tools built around their own models.
Around that time, Anthropic began cracking down on some rivals’ use of its technology. The company in August cut off OpenAI from access to its application programming interface, telling
Wired
at the time that OpenAI technical staff were using its coding tools in violation of its terms of service. OpenAI said work such as benchmarking that it was performing using Anthropic’s API was a standard industry practice.
And even as Anthropic cut off rivals such as OpenAI, xAI continued using outputs from Claude, including for a multimonth distillation project to train its coding model directly on the responses, two people with knowledge of the project said.
This January, xAI co-founder Tony Wu told staff Anthropic had cut off the company’s access to Claude. Some xAI engineers continued to access Claude through personal accounts, though Anthropic eventually shut off many of those accounts too, one person with direct knowledge of the process said.
XAI has also turned to Blackbox AI, an intermediary that offers encrypted services for accessing other firms’ AI models. As recently as mid-May, xAI was accessing Anthropic models through the service for some benchmarking and other work, two people said. Blackbox did not respond to requests for comment.
Musk has publicly acknowledged doing this kind of work broadly. He testified in court during his legal battle with OpenAI in May that xAI had “partly” used OpenAI’s models to train Grok and called the practice common in the industry. But Musk and the company haven’t described the extent to which xAI has used Anthropic and the workarounds staffers used to gain direct access.
Apart from the mounting challenges with accessing Anthropic, xAI has also suffered at least one significant technical mishap in recent months when a staffer accidentally deleted core training data for its AI coding product during a data migration, one person who worked on the project said. That lost data represented two to three weeks’ worth of work, the person said.
Representatives for xAI did not respond to a request for comment.
Outside Help
xAI had initially aimed to release a new version of its coding model alongside an update to its general-purpose model by the end of last year, one person who worked on it said. That didn’t wind up happening, and xAI pivoted to work the model into a developer platform, Grok Build, which was released in May.
As it got tougher to tap Anthropic models directly, Musk also started bringing in people to help with xAI’s coding efforts. Earlier this year, for example, Tesla engineers received early access to beta versions of Grok Build to provide feedback, two engineers at Tesla said.
Financial ties also deepened between the Musk companies. Tesla announced a $2 billion investment in xAI in late January, and days later SpaceX acquired xAI at a $250 billion valuation. A wave of xAI departures followed, including eight of the startup’s remaining co-founders, as well as
staff cuts and budget cuts
.
In March, Musk said Tesla would work with xAI on what he then described as a computer use agent project designed to replace white collar workers, Macrohard. That month, Tesla and SpaceX staff began visiting xAI’s headquarters to meet with leadership, three people said. Members of Tesla’s Autopilot, AI infrastructure, and Dojo supercomputer teams also began working at xAI to support the Macrohard and infrastructure teams
,
The Information learned.
Soon after that, Musk held a meeting with some staff where he outlined a plan to bring in expertise from Cursor and Mistral AI to fill key gaps and accelerate development, telling xAI staff he was very worried about Claude’s technical lead, the people said.
He said Mistral, a French AI lab known for its customizable models, would help with pretraining, while Cursor, the coding assistant startup, would handle post-training, the work of turning a model into a useful product. xAI would provide the infrastructure in this scenario, the people said.
At the same meeting, employees were told that Anthropic had approached xAI to lease computing power, though Musk told staff the company was not pivoting to become a compute provider, two people who heard the comments said.
But xAI shifted its approach not too long after. In April, it announced a deal giving Cursor access to xAI’s infrastructure to train Composer, Cursor’s own model. SpaceX also has the option to buy Cursor for $60 billion later this year or pay a $10 billion breakup fee.
And then in May, xAI announced the deal with Anthropic, which is paying $1.25 billion a month for a major portion of xAI’s data center capacity, with a six-month initial commitment and then a month-by-month deal either side can cancel after that.
Meanwhile, xAI’s early conversations with Mistral haven’t translated into a formal partnership. Mistral executives visited xAI headquarters in mid-April, but meetings between those company leaders stopped a few weeks later, the two people said. And Mistral founding engineer Devendra Chaplot, who had joined xAI only a month prior to lead pretraining, left the company by May.
Cursor and Anthropic did not have a comment. Mistral did not respond to a request for comment.
Since the partnership with Cursor kicked off, Cursor CEO Michael Truell has been a regular sight at the xAI office, two people said. The two companies held multiple meetings early on where they shared updates and proprietary technical details, the people said. XAI then
made cuts
to engineering staff.
As of mid-May, the company had fewer than five people on its pretraining team, one person said, down from more than two dozen the prior year
.
And xAI has now cycled through at least four Grok Code leads in a matter of months, most recently Beibin Li, who left the company in May.
What’s next for SpaceX’s AI efforts isn’t clear. In addition to launching the Grok Build platform in late May, the company also recently rolled out video and voice-generation upgrades. SpaceX says in its IPO paperwork it is continuing to train the next major Grok model at its data centers, but it hasn’t announced any launch timeline."
