标题,时间,作者,链接,内容
Anthropic’s Contradiction; The Risks of Buying SpaceX Stock Now,2026-06-14T22:01:31Z,Martin Peers,https://www.theinformation.com/newsletters/the-briefing/anthropics-contradiction-risks-buying-spacex-stock-now,"What a weekend! Set time aside this coming Thursday for the New York City
ticker tape parade
celebrating the victorious Knicks. The
joy flowing from that game
Saturday night tops even the
plaudits flowing from
SpaceX’s successful IPO (read down for more on that subject.)
Still, SpaceX was quickly supplanted in the business limelight
by the latest Anthropic-government drama
, this time over the AI firm’s recently released Fable 5 model. Is it just me, or is there something contradictory about a company that was ostensibly formed to
“build safer systems”
having a run-in with the U.S. government over the safety of its latest models?
Anthropic’s
statement here
explains its view of the situation: it argues that “perfect jailbreak resistance is not currently possible for any model provider” and it believes in its strategy of “defense in depth” . And it disagrees that issues raised with the latest model required it to be pulled from release. Those close to the
administration disagree
.
What makes this a multi-layered situation is that some companies, including Microsoft, were already holding off on using the model because,
as we wrote here,
Anthropic had introduced a new policy with Fable 5 to hold onto customer data for 30 days. Anthropic says this data retention policy was part of its cyber defense strategy although it acknowledged on Friday that it “carries real costs for us with customers.”
It’s not just the government that has tense relations with Anthropic.
As we reported here,
Anthropic has sharp elbows when it comes to dealing with other businesses. The bottom line is that despite Anthropic’s warm and fuzzy origin story, it has emerged as the most cut-throat competitor in tech, operating much more efficiently than its better known but more chaotically managed rival OpenAI. Will this drama give OpenAI an opening to catch up? Stay tuned for further developments.
Losing Money on IPOs
The other big story we’ll be tracking this week is how trading in SpaceX starts to settle down. Assuming you haven’t been hiding away in a cave, you’d know that SpaceX stock closed on Friday at $160.95, 19% above its $135 a share IPO price.
Anyone buying on Friday will need nerves of steel, given how easy it is to lose money on IPOs if you buy on the first day of trading. University of Florida Professor Jay Ritter, who has analyzed data on IPO performance going back decades,
said on TITV Thursday
that 75% of IPO stocks rise on their first day. But his data shows that over the longer term, those gains are far less common. While Musk-related stocks tend to trade disconnected from reality, anyone who buys now should be prepared to hold onto their stock for a few decades for those Mars commercial flights to get started. Selling in the meantime could be costly.
Ritter’s data for IPOs that occurred between 1975 and 2021 show that the average return for someone who bought at the close of the first day and held for three years was 21%, but that’s skewed by some very strong performers. The median was a loss of 25.7%. The returns are meaningfully higher for those buying at the IPO price although the median is still a loss.
Returns are much lower if you hold for a year or less. The worst off is someone who buys at the close on the first day and holds for just six months: Then the average return is negative 0.6%.
Meta’s Reversal
If you didn’t catch
Jyoti’s scoop on Friday
about Meta Platforms’ sudden clampdown on AI usage, it’s a must-read. In one of the more predictable developments in recent tech history, skyrocketing AI costs have prompted the Facebook owner to take steps to track employee use of AI so the company can better manage the costs.
Meta, don’t forget, became synonymous with the concept of tokenmaxxing, where employees would vie to see who could use the most tokens as a symbol of their AI prowess. Jyoti wrote in
early April
that employees even set up a leaderboard to track who among them burned the most tokens. At the time, Meta higher-ups seemed fine with it:
Forbes quoted
Meta Chief Technology Officer Andrew Bosworth saying, “Keep doing it. No limit.”
But AI compute is expensive, and even for a deep-pocketed company like Meta, the costs add up. The chickens have come home to roost.
In Other News
•
Roku is in discussions to be acquired by another company,
Bloomberg reported,
sending shares of the streaming device maker up 20%. At the higher price, Reddit has a market capitalization of $21 billion.
• A coalition of state attorneys general has sent OpenAI a subpoena seeking documents about how the ChatGPT maker’s chatbot affects users, an OpenAI spokesperson confirmed.
• Crypto platforms Binance, Bybit and Bitget said Friday they had to cancel plans to offer tokens backed by SpaceX stock to overseas investors during the IPO after their partner in the venture, Kraken-owned xStocks, couldn’t secure enough SpaceX stock.
• Nvidia is pitching Chinese customers on its new Vera central processing units for AI data centers, telling them the chips could be available as soon as August and that orders can begin now,
Reuters reported,
citing three people familiar with the matter.
Friday on The Information’s TITV
Check out
today's episode of TITV
in which we talk about the retail trader's perspective on the SpaceX IPO."
"OpenAI, Anthropic Employees Have Already Cashed Out About $14 Billion",2026-06-14T15:00:49Z,Julia Hornstein,https://www.theinformation.com/articles/openai-anthropic-employees-cashed-14-billion,"Anthropic and OpenAI have some pressing reasons to go public. But they have already relieved some of the pressure that typically pushes companies toward initial public offerings: employees anxious to cash out their equity.
The two AI model companies have allowed early employees and investors to sell a combined $14 billion in shares over the last five years, according to The Information’s estimates. More employee sales of private shares are coming.
Last week, as OpenAI filed its draft paperwork for an IPO, the company also started planning
a tender offer
for its employees at its March valuation of $730 billion before the money raised.
This share sale is the latest in a string of OpenAI-arranged share sales allowing current and former employees to net some cash. The 11-year-old AI lab has completed at least eight such sales in the past five years, providing a windfall of over $9 billion total for its staff.
Sales at rival Anthropic have been less frequent, though that’s likely in part because the company was only founded five years ago. In May 2025,
it arranged its first buyback
of shares held by current and former employees, which occurred a few months after investors had valued it at $58 billion before the money raised.
Then, early this year, following a funding round that valued it at $350 billion, Anthropic arranged for another multibillion-dollar share sale for current and former staff. As the Claude maker’s annualized revenue surged
past $30 billion
, some venture capitalists speculated Anthropic would arrange a new sale at a $500 billion valuation. It didn’t, instead raising $65 billion at a $900 billion valuation before the investment.
Secondary Wave
Private share sales have increasingly helped attract and reward startup staff, especially as companies such as Stripe, Databricks and SpaceX have pushed off going public in recent years. (By the time
SpaceX went public on Friday
, it had been holding employee share sales for at least five years.)
In 2025, current and former employees at private companies sold roughly $1.7 billion in shares through tender offers and secondaries, more than $200 million higher than what they sold in 2024 and 2023 combined, according to data firm Carta.
Such sales become increasingly important as companies stay private for several years, at which point employees may have to start paying taxes on their stock compensation—sometimes before they have been able to cash in on their holdings.
“Employees will have been fully vested and holding on for a while for OpenAI,” said Javier Avalos, CEO of private markets data platform Caplight. “At that point, you start to feel a lot of pressure to provide liquidity to employees.”
Company-sponsored tender offers are the main avenue for employees to sell shares before an IPO. Some employees have also been able to sell shares through individual secondary transactions. SoftBank, which led OpenAI’s $330 billion valuation funding round last year, bought at least $1.7 billion worth of existing shares from OpenAI holders in separate transactions last year.
Both Anthropic and OpenAI have been cracking down on stock sales they haven’t authorized—say, through special purpose vehicles—in recent months.
For both companies, the biggest reason to go public is the tens of billions of dollars IPOs will allow them to raise for training and running their models. That’s necessary, as they anticipate spending hundreds of billions on computing services.
“It’s a very capital-intensive business to train AI models,” Anthropic president and co-founder Daniela Amodei said at a Bloomberg Tech conference earlier this month. “Over time, the sort of core set of companies that are working to advance the frontier are just going to need access to capital, and I think the public market is very well suited to that.”
One factor holding back share sales is that employees may judge it’s better to wait for an IPO to sell. Anthropic’s employee share sale earlier this year fell short of the $5 billion to $6 billion Bloomberg reported investors wanted to buy.
And eventually, most companies find a way to go public.
While OpenAI is planning an employee share sale, that “doesn’t take away the incentive to go public,” Ken Smythe, founder and CEO of secondaries-focused firm Next Round Capital, said. “Tenders are just a release valve for liquidity.”"
