标题,时间,作者,链接,内容
WWDC and SpaceX IPO Headline Big Week,2026-06-07T22:01:04Z,Martin Peers,https://www.theinformation.com/newsletters/the-briefing/wwdc-spacex-ipo-headline-big-week,"This promises to be an action-packed week. On Monday, Apple
kicks off its annual Worldwide Developers Conference,
or WWDC for short, where the tech giant is expected to unveil a new operating system for its mobile devices, complete with more advanced AI features. And then later in the week, SpaceX is scheduled to go public.
Rather than add to the acres of text and video already expended on the Elon Musk event, let’s discuss WWDC. It also is the subject of massive news coverage, of course, but WWDC has the benefit of being rooted in the here and now, unlike the far-in-the-future promises of SpaceX. What’s important about WWDC is that the AI features to be introduced could—depending on consumer reaction—have far-reaching implications for how we use apps.
We’re expecting Apple executives to show off a newly overhauled Siri on the iPhone that will be able to take multistep actions, such as booking a lunch with your mother and then scheduling it in your calendar. Yes, we know, Apple unveiled something similar in 2024 and then ran into problems implementing it. But this time, it’s different! Or at least we hope so. Since Apple teamed up with Google, its AI offerings should work this time—fingers crossed.
Put aside for a moment the most important question of whether consumers want this kind of feature. Let’s assume they start using it. According to Francisco Jeronimo, a vice president of devices at research firm IDC, this more intelligent Siri means consumers won’t need to open individual apps to do things as much. Instead, Siri can handle everything. We will still need the apps on the phones, mind you, as Siri has to communicate with the apps in the background. But any apps reliant on people opening them regularly for, say, advertising sales, could face a problem over time.
It’s also possible Apple starts charging for these features at some point, maybe splitting the revenue it gets with the apps and other business partners, such as Google. In other words, Apple, despite having spent a fraction of what other tech companies are laying out on AI development, could build a decent revenue stream from AI.
This is all in the future, of course. We’ll have to see how it works once the software is available, presumably in the fall when Apple’s new mobile software typically debuts. But if you’re wondering why Apple stock has rallied roughly 25% since the end of March—and is now up 13% on the year—this might give you a clue.
SpaceX’s Big Day
SpaceX’s advisers will be hoping Friday’s market upheavals don’t recur this week, as the company heads toward a pricing of its offering. The Nasdaq index fell 4%, while the S&P 500 was off 2.6%. That’s quite a sell-off, which
Bloomberg attributed
to rising worries that interest rates will hike.
Rising interest rates would be problematic for tech, given the ravenous appetite AI developers have for new funding. We’re due for a market correction, however, given all the worries about rising oil prices and the Iran war. All this means this is a week to be paying attention.
For our latest coverage of SpaceX, see
here,
here,
here
and
here.
In Other News
•
Google has agreed to pay $920 million a month to purchase compute capacity from SpaceX, SpaceX said in a filing. The deal will run from October 2026 through June 2029, and Google will be able to access approximately 110,000 Nvidia GPUs, CPUs and related components, according to the filing.
•
President Donald Trump told reporters on Friday that he plans to meet with AI companies in the near future to discuss financial “partnerships,” though he did not share further details on what the deals would look like. The remarks come after a Thursday
report
from NOTUS that OpenAI CEO Sam Altman had spoken with senior Trump officials about the government taking a stake in his company.
•
Tesla is delaying a planned public demo for its long-awaited next-generation Roadster to August or later, four people with knowledge of the program said, marking the latest setback for the company’s first vehicle debut since its Cybercab came out nearly two years ago. CEO Musk had said in October 2025 that Tesla was aiming to unveil the new Roadster on April 1.
• LinkedIn co-founder and investor Reid Hoffman will leave his seat on Microsoft’s board of directors at the end of this year, Microsoft said in a filing Friday. Hoffman has served as a Microsoft director since 2017, when the company acquired LinkedIn.
• Big banks including JPMorgan, Bank of America, and Citi are planning to participate in a new settlement network to be launched next year, which will allow banks to move money on the blockchain between each other.
Friday on The Information’s TITV
Check out
Friday’s episode of TITV
in which we unpack our latest reporting on Anthropic cutting off xAI’s access to its products."
Revolut Targets at Least $750 Million Share Sale Amid Strong Demand,2026-06-07T19:07:29Z,Katie Roof,https://www.theinformation.com/articles/revolut-targets-least-750-million-share-sale-amid-strong-demand,"Revolut, a London-based financial app, is aiming to sell at least $750 million worth of shares in a secondary sale set to kick off next week, with the total potentially pushing far higher amid early signs of strong investor demand, according to a person with knowledge of the discussions.
There is already enough investment interest to increase the size of the offering to $2 billion, the person said, though the final amount sold will depend on how many employees and early shareholders are willing to sell their stock at the proposed $109 billion valuation. The number rises to a $115 billion valuation, if accounting for potential dilution from stock options.
The secondary offering would represent a nearly 50% jump from Revolut’s valuation of $75 billion last fall.
Although the process is currently slated to formally begin on June 15, many firms have already indicated that they are likely to write checks north of $100 million, the person added. The transaction is not expected to be finalized until July or August, the person said.
The tender offer is set to be led by Glade Brook, an existing investor in Revolut that has also made other financial technology bets like Stripe and Ramp. Revolut’s other existing investors include Andreessen Horowitz, Tiger Global, SoftBank and TCV.
The final details of the secondary sale are still being negotiated and some details could change.
Revolut is one of several highly valued startups that have arranged for private share sales as they delay holding public offerings. The company has said it doesn’t expect to go public before 2028.
The share sale, once finalized, would make the 11-year-old startup Europe’s first “centicorn,” or a venture-backed private company worth over $100 billion. It would also make CEO and co-founder Nik Storonsky one of the wealthiest people in Europe, with his ownership stake rising to 29%, he said in an interview last year.
The expected sale would come on the heels of a series of changes and strong growth at the company, which offers free and low-cost banking services.
Last  week, Revolut’s co-founder and CTO Vlad Yatsenko announced he was stepping down. In March, the company filed for a U.S. bank charter application and named a new U.S. CEO. Pre-tax profit last year rose 57% to $2.3 billion, while revenue jumped 46% to $6 billion.
Such growth has made the company one of the most heavily anticipated IPO candidates in Europe. But other fintech companies have performed poorly after going public, possibly dissuading other startups from new listings. For example, shares of Swedish installment lender Klarna have fallen 56% since their U.S. IPO last year."
"In Anthropic vs. OpenAI Race to IPO, First Doesn’t Necessarily Mean Best",2026-06-07T15:00:40Z,Valida Pau,https://www.theinformation.com/articles/anthropic-vs-openai-race-ipo-first-necessarily-mean-best,"Anthropic’s filing of its initial public offering paperwork last week means the maker of Claude Code has pulled slightly ahead of OpenAI as the two go head-to-head with their planned IPOs.
While bankers and lawyers say there are good reasons for a company to beat its rival to the public markets, especially if it fears its rival’s offering will outshine it, that won’t necessarily help the stock outperform, a review of rivaling IPOs from the last decade shows.
Most famously, Lyft and Uber filed confidentially within the same week in December 2018. Ultimately, Lyft went public in late March 2019 and raised $2.3 billion at an IPO valuation of around $24 billion. Two months later, Uber went public, raising $8.1 billion at a valuation of more than $80 billion.
But Lyft’s early debut didn’t ultimately matter to investors. In the 12 months after its IPO, Lyft’s stock had fallen about 66% from its IPO price. Uber, on the other hand, had lost about 30% from its IPO price in the same period.
Later in 2019, when two companies that sell software for monitoring business applications went public, latecomer Datadog tripled in value—outperforming rival Dynatrace, which merely doubled at the one-year IPO anniversary.
On the other hand, when two Chinese e-commerce giants, JD.com and Alibaba, listed in the U.S., the firstcomer did better.
JD.com went public in May 2014, raising $1.8 billion at a valuation of $26 billion. Four months later, Alibaba raised $25 billion and was valued at $168 billion at the time of the IPO. A year later, JD.com had gained roughly 80% from its IPO price, while Alibaba had lost 3%.
A similar dynamic played out in 2021 with the public offerings of two popular trading apps. After Coinbase listed its shares publicly in a direct listing, its shares shot up in the immediate aftermath, powering its market cap past $100 billion. But they were down more than 30% a year later amid the crypto crash. Robinhood, which went public three months later, performed worse, falling more than 70%.
Regardless, bankers, lawyers and consultants who advise on IPOs say they’d rather have their client list first—especially if they worry investors would prefer backing their rival.
“If you’re the second-best company, I would always recommend trying to go first,” said Jeff Bernstein, a capital markets adviser at advisory firm Riveron. “Otherwise, you’re going to have to prove that you’re better than or equal to the company that went before you.”
Indeed, at the time of the ride-hailing IPOs, Lyft was far smaller. It was focused on North American cities as opposed to Uber’s global reach, and its revenue was about one-fifth that of Uber, whose valuation had shot up to $76 billion, or five times Lyft’s.
OpenAI and Anthropic are in a similar intense rivalry for capital, customers and talent. OpenAI, which kicked off the AI boom with the 2022 release of ChatGPT, has long been considered the leader over its younger competitor, Anthropic.
But Anthropic’s hit products, Claude Code and Claude Cowork, helped it eclipse OpenAI in revenue earlier this year. Anthropic said last week its annualized revenue had passed $47 billion.
OpenAI’s annualized revenue has topped $30 billion
, though it hasn’t released updated numbers.
Anthropic’s valuation, at $900 billion before the money raised in its latest round, also for the first time topped OpenAI’s valuation, which reached $730 billion in late March.
Public market investors
have said they prefer Anthropic’s
enterprise focus. OpenAI, however, is catching up with the rising popularity of its coding agent Codex,
which just passed 5 million weekly active users
.
Both are pursuing public offerings that could take place as early as this fall. They have hired law firms to draft their prospectuses and are working with banks and firms that specialize in investor relations.
OpenAI has been working with bankers to file its own public offering, though it has yet to submit it, and people close to the company say it’s not in a rush to file.
Even once the AI companies file, many factors will contribute to when they decide to go public, from investors’ reactions to SpaceX’s mega-IPO, to the health of the broader global economy, to the companies’ own financial strength. Unpredictable revenue growth and spiking compute costs could turn away investors, for instance.
The sheer size of the potential offerings means the two companies have good reason to beat each other to the finish line. If both OpenAI and Anthropic sell at least 5% of their companies in an IPO, based on their last valuation, the capital raises would amount to $100 billion altogether.
“This is a race to the capital,” said Bernstein. He suggests Anthropic executives may be thinking: “If they get out first, they are going to take a lot of the available IPO capital with them, and that is a strategic move, because dollars matter when it comes to these two players.”"
